"","Name_matched","OrganismType","Class","Ecoregion","Lat","Lon","gps_loc","habitatAuthor","Age_at_Maturity","Mean_repro","Net_repro","Age_50_dead","Age_99_dead","Age_999_dead","survival_index99","survival_index999","survival_index_LaPlusRepExp","prog_growth","retro_growth","Repro_life_expectancy","GiniF_999","GiniF_99","Gen_time","NSeedStages","Studylength","MatrixDim"
"110","Silene acaulis","Herbaceous perennial","Magnoliopsida","BOR",61.49,-142.84708,"61.49 -142.84708","boulder field",11.1642919513317,0.0487918671422526,11.2724049219185,2,182,367,0.010989010989011,0.00544959128065395,0.0217533797932082,0.169065751255385,0.0277037032528578,80.7754442649429,0.129496059618971,0.250352382734072,80.75052863428,1,2,12
"111","Silene acaulis","Herbaceous perennial","Magnoliopsida","BOR",61.49,-142.84068,"61.49 -142.84068","scree",5.48100146754601,0.00676876682370812,1.08177872980262,2,571,1139,0.00350262697022767,0.00175592625109745,0.00790495855857979,0.12582533023383,0.0906122393693175,247.524752475245,0.0523154186421551,0.102107512641585,295.853059845622,1,2,12
"112","Silene acaulis","Herbaceous perennial","Magnoliopsida","BOR",61.49,-142.8215,"61.49 -142.8215","tundra meadow",100.38967854501,0.0482892702082663,13.150503959076,2,363,869,0.00550964187327824,0.00230149597238205,0.00623725269811179,0.0413251383263523,0.0162829414886465,220.264317180618,0.129785289197504,0.259035599020156,173.926912625865,1,2,12
"113","Silene acaulis","Herbaceous perennial","Magnoliopsida","BOR",61.49,-142.81453,"61.49 -142.81453","alpine fell field",23.8528289340472,0.0112701552331731,0.862368289384862,2,294,585,0.00680272108843537,0.00341880341880342,0.013266436686586,0.0832577265173459,0.0513249790330235,126.903553299491,0.180383838814104,0.3069486202573,220.84959918923,1,2,12
"114","Sphaeralcea coccinea","Herbaceous perennial","Magnoliopsida","TGS",38.13,-99.05,"38.13 -99.05","grasslands",1,0.855714285714286,1.01692670898694,2,4,6,0.5,0.333333333333333,0.913911730156066,0.123683756495952,0,1.18839515240544,1.77635683940025e-16,0,1.2018351025347,0,35,2
"115","Stryphnodendron microstachyum","Tree","Magnoliopsida","TMB",10.4333333333333,-83.983,"10.4333333333333 -83.983","forest",78.2651008780005,0.212131818673364,37.3803349090017,2,13,82,0.153846153846154,0.024390243902439,0.0177556659165831,0.163679659595519,0,34.375,0.629636522674396,0.938570833934707,78.603188512005,1,3,13
"116","Succisa pratensis","Herbaceous perennial","Magnoliopsida","TBM; BOR",58.8333333333333,17.4,"58.8333333333333 17.4","grasslands",6.07847837075518,0.15959911019853,0.14666774917361,2,4,6.66666666666667,0.5,0.318518518518518,0.157915209395319,0.158036843310074,0.0850531000109539,7.04107219958668,0.762309997239522,0.988713849421339,19.96849131808,1,4,5
"117","Swietenia macrophylla","Tree","Magnoliopsida","TMB",-15.78,-62.92,"-15.78 -62.92","forest",19.1080882365133,0.577950814003544,17.3933818533167,2,9,92,0.222222222222222,0.0217391304347826,0.00630206473267307,0.0673359529517582,0,298.248220344545,0.465411671927389,0.814895979114721,210.68365033799,0,5,10
"118","Syzygium jambos","Tree","Magnoliopsida","TMB",18.3,-65.83,"18.3 -65.83","forest",9.93650793650751,0.494058336238613,33.7624557260921,3,17,32,0.176470588235294,0.09375,0.106234031681146,0.275231653507213,0.00464518246453097,18.3030303030303,0.6582219692752,0.695639213679758,23.0970411414978,0,3,6
"119","Thymus vulgaris","Herbaceous perennial","Magnoliopsida","MED",38.65,0.0666666666666667,"38.65 0.0666666666666667","rocky escarpment",29.169014084507,0.00638238453215783,0.315587643508107,46,282,417,0.163120567375887,0.11031175059952,0.466357378186163,0.00915780679649598,0,69.4677871148459,0.0829594641665502,0.114096836388778,117.71028400648,0,3,3
"120","Trillium grandiflorum","Herbaceous perennial","Liliopsida","TBM",41.3333333333333,-79.97,"41.3333333333333 -79.97","forest",18.3871917556122,0.097512265257406,0.0663011649784642,2,13,47,0.153846153846154,0.0425531914893617,0.0500777005955131,0.0915720363655108,0.0498437663584117,21.5507442162162,0.219000450787764,0.615973373322404,47.1268024977769,1,3,6
"121","Trillium grandiflorum","Herbaceous perennial","Liliopsida","TBM",41.4,-80,"41.4 -80","forest",27.5152908801384,0.0676862672825946,0.909203636058425,2,82,175,0.024390243902439,0.0114285714285714,0.0267402417645201,0.114783977836974,0.0711791962026997,47.2783485196994,0.0663144155047993,0.138940986042685,54.1003293236408,1,3,6
"122","Trillium grandiflorum","Herbaceous perennial","Liliopsida","TBM",41.4833333333333,-80.4,"41.4833333333333 -80.4","forest",15.0055498908147,0.298240948294147,11.8917875846151,2,119,312,0.0168067226890756,0.00641025641025641,0.0186025214014311,0.219196811926113,0.0532593855759013,92.506757545431,0.0392033646186023,0.101247911572386,41.5276412536202,1,3,6
"123","Trillium grandiflorum","Herbaceous perennial","Liliopsida","TBM",41.5166666666667,-80.43,"41.5166666666667 -80.43","forest",14.5703751613968,0.325747591633638,0.75003791472593,2,9,68,0.222222222222222,0.0294117647058824,0.0322659075568601,0.14071083525423,0.0530432743790503,47.414554178512,0.198154464097731,0.778806352785235,56.4599584043153,1,3,6
"124","Trillium grandiflorum","Herbaceous perennial","Liliopsida","TBM",41.6,-80.35,"41.6 -80.35","forest",28.0651635060258,0.0596181735608839,0.467735641326608,3,83,156,0.036144578313253,0.0192307692307692,0.0462555495772349,0.122948903933006,0.0967018395727055,36.7919191017761,0.0533113192633537,0.0997879727736783,51.6730278118922,1,3,6
"125","Trillium grandiflorum","Herbaceous perennial","Liliopsida","TBM",41.6666666666667,-80.23,"41.6666666666667 -80.23","forest",10.3606566502922,0.540362322355693,12.0026079303778,2,12,331,0.166666666666667,0.00604229607250755,0.0118458617050249,0.16777400434509,0.0163748792249008,158.474675873607,0.0317345583148198,0.672370878056731,56.3140743045327,1,3,6
"126","Trillium grandiflorum","Herbaceous perennial","Liliopsida","TBM",41.7166666666667,-80.03,"41.7166666666667 -80.03","forest",14.7153512614214,0.308681856361349,2.59124985958364,2,26,130,0.0769230769230769,0.0153846153846154,0.029179705743311,0.170106024244219,0.0545666558414758,53.8254358730914,0.0951159842246427,0.397045913326605,43.3506311478374,1,3,6
