Name_submitted,Name_matched,Name_match_with_do_not_use,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid,Checked_ruth
Balsamorhiza sagittata,Balsamorhiza sagittata,Balsamorhiza sagittata,1,Accepted,Balsamorhiza sagittata,(Pursh) Nutt.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:02F1209D-895B-4E13-ADFE-13BB82A5D2D0,
Banksia ericifolia,Banksia ericifolia,Banksia ericifolia,1,Accepted,Banksia ericifolia,L.f.,Proteaceae,tpl, ,,
Banksia ericifolia,Banksia ericifolia,Banksia ericifolia,1,Accepted,Banksia ericifolia,L. f.,Proteaceae,tropicos;usda, ,,
Ranunculus peltatus,Ranunculus peltatus,Ranunculus peltatus,1,Synonym,Batrachium peltatum,C. Presl,Ranunculaceae,tropicos, ,,
Bertholletia excelsa,Bertholletia excelsa,Bertholletia excelsa,1,Accepted,Bertholletia excelsa,Bonpl.,Lecythidaceae,tpl;tropicos, ,,
Bertholletia excelsa,Bertholletia excelsa,Bertholletia excelsa,1,Accepted,Bertholletia excelsa,Humb. & Bonpl.,Lecythidaceae,usda, ,,
Betula nana,Betula nana,Betula nana,1,Accepted,Betula nana,L.,Betulaceae,tpl;tropicos;usda, ,,
Betula pendula,Betula pendula,Betula pendula,1,Accepted,Betula pendula,Roth,Betulaceae,tpl;tropicos;usda, ,,
Borassus aethiopum,Borassus aethiopum,Borassus aethiopum,1,Accepted,Borassus aethiopum,Mart.,Arecaceae,tpl;tropicos;usda, ,,
Bothriochloa insculpta,Bothriochloa insculpta,Bothriochloa insculpta,1,Accepted,Bothriochloa insculpta,(A.Rich.) A.Camus,Poaceae,tpl, ,,
Bothriochloa insculpta,Bothriochloa insculpta,Bothriochloa insculpta,1,Accepted,Bothriochloa insculpta,(Hochst. ex A. Rich.) A. Camus,Poaceae,tropicos, ,,
Bothriochloa insculpta,Bothriochloa insculpta,Bothriochloa insculpta,1,Accepted,Bothriochloa insculpta,(Hochst.) A. Camus [excluded],Poaceae,usda, ,,
Bothriochloa ischaemum,Bothriochloa ischaemum,Bothriochloa ischaemum,1,Accepted,Bothriochloa ischaemum,(L.) Keng,Poaceae,tpl;tropicos;usda, ,,
Bouteloua rigidiseta,Bouteloua rigidiseta,Bouteloua rigidiseta,1,Accepted,Bouteloua rigidiseta,(Steud.) Hitchc.,Poaceae,tpl;tropicos;usda, ,,
Brassica insularis,Brassica insularis,Brassica insularis,1,Accepted,Brassica insularis,Moris,Brassicaceae,tpl;tropicos, ,,
Brassica napus,Brassica napus,Brassica napus,1,Accepted,Brassica napus,L.,Brassicaceae,tpl;tropicos;usda, ,,
Bromus tectorum,Bromus tectorum,Bromus tectorum,1,Accepted,Bromus tectorum,L.,Poaceae,tpl;tropicos;usda, ,,
Brosimum alicastrum,Brosimum alicastrum,Brosimum alicastrum,1,Accepted,Brosimum alicastrum,Sw.,Moraceae,tpl;tropicos;usda, ,,
Kalanchoe pinnata,Kalanchoe pinnata,Kalanchoe pinnata,1,Synonym,Bryophyllum pinnatum,(Lam.) Oken,Crassulaceae,tpl, ,,
Bursera glabrifolia,Bursera glabrifolia,Bursera glabrifolia,1,Accepted,Bursera glabrifolia,(Kunth) Engl.,Burseraceae,tpl;tropicos, ,,
Bursera graveolens,Bursera graveolens,Bursera graveolens,1,Accepted,Bursera graveolens,(Kunth) Triana & Planch.,Burseraceae,tpl;tropicos, ,,
Calamagrostis canescens,Calamagrostis canescens,Calamagrostis canescens,1,Accepted,Calamagrostis canescens,(Weber) Roth,Poaceae,tpl;tropicos, ,,
Calamagrostis canescens,Calamagrostis canescens,Calamagrostis canescens,1,Accepted,Calamagrostis canescens,(Weber ex F.H. Wigg.) Roth,Poaceae,usda, ,,
Calamagrostis epigeios,Calamagrostis epigeios,Calamagrostis epigeios,1,Accepted,Calamagrostis epigeios,(L.) Roth,Poaceae,tropicos;usda, ,,
Calamus rhabdocladus,Calamus rhabdocladus,Calamus rhabdocladus,1,Accepted,Calamus rhabdocladus,Burret,Arecaceae,tpl;tropicos, ,,
Calathea micans,Calathea micans,Calathea micans,1,Accepted,Calathea micans,(L.Mathieu) K?rn.,Marantaceae,tpl, ,,
Callitris columellaris,Callitris columellaris,Callitris columellaris,1,Accepted,Callitris columellaris,F.Muell.,Cupressaceae,tpl, ,,
Callitris columellaris,Callitris columellaris,Callitris columellaris,1,Accepted,Callitris columellaris,F. Muell.,Cupressaceae,tropicos, ,,
Callitris columellaris,Callitris columellaris,Callitris columellaris,1,Synonym,Callitris glaucophylla,Joy Thomps. & L.A.S. Johnson,Cupressaceae,usda, ,,Okay
Calluna vulgaris,Calluna vulgaris,Calluna vulgaris,1,Accepted,Calluna vulgaris,(L.) Hull,Ericaceae,tpl;tropicos;usda, ,,
Erica ciliaris,Erica ciliaris,Do not use,1,Synonym,Calluna vulgaris,(L.) Hull,Ericaceae,tpl, ,,do not use
Calocedrus decurrens,Calocedrus decurrens,Calocedrus decurrens,1,Accepted,Calocedrus decurrens,(Torr.) Florin,Cupressaceae,tpl;tropicos;usda, ,,
Calocedrus macrolepis,Calocedrus macrolepis,Calocedrus macrolepis,1,Accepted,Calocedrus macrolepis,Kurz,Cupressaceae,tpl;tropicos, ,,
Calochortus albus,Calochortus albus,Calochortus albus,1,Accepted,Calochortus albus,(Benth.) Douglas ex Benth.,Liliaceae,tpl;tropicos, ,,
Calochortus albus,Calochortus albus,Calochortus albus,1,Accepted,Calochortus albus,Douglas ex Benth.,Liliaceae,usda, ,,
Fritillaria biflora,Fritillaria biflora,Fritillaria biflora,1,Synonym,Calochortus barbatus,(Kunth) Painter,Liliaceae,tpl, ,,
Calochortus macrocarpus,Calochortus macrocarpus,Calochortus macrocarpus,1,Accepted,Calochortus macrocarpus,Douglas,Liliaceae,tpl;tropicos;usda, ,,
Calochortus obispoensis,Calochortus obispoensis,Calochortus obispoensis,1,Accepted,Calochortus obispoensis,Lemmon,Liliaceae,tpl;tropicos;usda, ,,
Calochortus pulchellus,Calochortus pulchellus,Calochortus pulchellus,1,Accepted,Calochortus pulchellus,(Benth.) Alph.Wood,Liliaceae,tpl, ,,
Calochortus pulchellus,Calochortus pulchellus,Calochortus pulchellus,1,Accepted,Calochortus pulchellus,(Benth.) Alph. Wood,Liliaceae,tropicos, ,,
Calochortus pulchellus,Calochortus pulchellus,Calochortus pulchellus,1,Accepted,Calochortus pulchellus,Douglas ex Benth.,Liliaceae,usda, ,,
Calochortus tiburonensis,Calochortus tiburonensis,Calochortus tiburonensis,1,Accepted,Calochortus tiburonensis,A.J.Hill,Liliaceae,tpl, ,,
Calochortus tiburonensis,Calochortus tiburonensis,Calochortus tiburonensis,1,Accepted,Calochortus tiburonensis,A.J. Hill,Liliaceae,tropicos;usda, ,,
Callycophyllum spruceanum,Calycophyllum spruceanum,Calycophyllum spruceanum,0.99,Accepted,Calycophyllum spruceanum,(Benth.) Hook.f. ex K.Schum.,Rubiaceae,tpl, ,,Use matched name
Callycophyllum spruceanum,Calycophyllum spruceanum,Calycophyllum spruceanum,0.99,Accepted,Calycophyllum spruceanum,(Benth.) Hook. f. ex K. Schum.,Rubiaceae,tropicos, ,,
Camellia japonica,Camellia japonica,Camellia japonica,1,Accepted,Camellia japonica,L.,Theaceae,tpl;tropicos;usda, ,,
Oenothera californica,Oenothera californica,Do not use,1,Synonym,Camissonia californica,(Nutt. ex Torr. & A. Gray) P.H. Raven,Onagraceae,usda, ,,Do not use
Campanula americana,Campanula americana,Campanula americana,1,Accepted,Campanula americana,L.,Campanulaceae,tpl;tropicos, ,,
Campanula americana,Campanula americana,Campanula americana,1,Synonym,Campanulastrum americanum,(L.) Small,Campanulaceae,usda, ,,Okay
Carapa guianensis,Carapa guianensis,Carapa guianensis,1,Accepted,Carapa guianensis,Aubl.,Meliaceae,tpl;tropicos;usda, ,,
Carduus nutans,Carduus nutans,Carduus nutans,1,Accepted,Carduus nutans,L.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:B2CB0F91-5C1F-458C-912A-4C623E5ACCF2,
Carex bigelowii,Carex bigelowii,Carex bigelowii,1,Accepted,Carex bigelowii,Torr. ex Schwein.,Cyperaceae,tpl;tropicos;usda, ,,
Carex humilis,Carex humilis,Carex humilis,1,Synonym,Carex cespitosa,L.,Cyperaceae,tpl, ,,
